company,category,description,website,photo,logo,status
AquaAction,Non-profit,"A binational (US & Canada) non-profit organization dedicated to building a water-secure future by empowering innovators and entrepreneurs to develop and deploy cutting-edge water technologies. They support water-focused startups from ideation to commercial success through leadership development, coaching, and industry partnerships.",https://aquaaction.org/,https://aquaaction.org/hubfs/Website/AquaAction%20Workshop%20on%20Marine%20Technology%20Innovation.jpg,https://aquaaction.org/hs-fs/hubfs/aalogo_white.png?width=150&height=45&name=aalogo_white.png,Non-profit
Black Leaders Detroit,Non-profit,"Black Leaders Detroit (BLD) is a non-profit organization that provides financial support, including no-interest loans and unrestricted grants, to Black entrepreneurs and Black-led organizations in Detroit. Their mission is to provide capital and resources to address systemic barriers and foster economic growth and independence within the Black community.",https://www.blackleadersdetroit.org/,"https://static.wixstatic.com/media/2e0084_540e245d64f14d55bed0fae3d42d3d9d~mv2.png/v1/fill/w_1815,h_500,al_c,q_90,usm_0.66_1.00_0.01,enc_avif,quality_auto/2e0084_540e245d64f14d55bed0fae3d42d3d9d~mv2.png","https://static.wixstatic.com/media/2e0084_3ef6532fd06f440fb60bfa57461f22d6~mv2.png/v1/fill/w_243,h_59,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/bld2HOR_wHITE.png",Non-profit
Cities Reimagined,Non-profit,Cities Reimagined helps leaders diagnose and solve problems in urban places. Their work is focused on addressing systemic challenges in mid-size cities.,https://www.citiesreimagined.com/,https://images.squarespace-cdn.com/content/v1/648b6792bcffb732632a4a15/6a2f4788-5b84-49aa-9a10-5cd0f009a95d/guilherme-stecanella-_dH-oQF9w-Y-unsplash.jpg?format=2500w,https://images.squarespace-cdn.com/content/v1/648b6792bcffb732632a4a15/182e7696-4ac9-4585-b50d-b0b5b67895be/Cream+and+Blue.png?format=1500w,Non-profit
Global Detroit,Non-profit,"Global Detroit is a non-profit organization focused on making Southeast Michigan a more welcoming and prosperous place for immigrants and international people. They work on initiatives related to immigrant integration, economic development, and cultural understanding to strengthen the region.",globaldetroit.org,https://globaldetroitmi.org/wp-content/uploads/2025/04/Image-9-scaled-e1732489977302.jpg,https://globaldetroitmi.org/wp-content/uploads/2020/03/GD-logo-2020_vertical_4c.png,Non-profit
Institute for AfroUrbanism,Non-profit,"The Institute for AfroUrbanism is dedicated to studying, documenting, and promoting Black placemaking and urbanism. They focus on the unique ways Black communities shape urban environments, often through research, education, and community engagement.",afrourbanism.org,https://images.squarespace-cdn.com/content/v1/5f0f7db447611c5091601bf0/1640052404521-A4DS7OX3COYMXL3KT3C5/MANIFEST+NEW+WORLD.jpg,https://static1.squarespace.com/static/5f0f7db447611c5091601bf0/t/65d4b79125b9d71e3495b181/1711645901777/,Non-profit
Michigan Founders Fund,Non-profit,"Michigan Founders Fund is a network of entrepreneurs and investors committed to growing the presence of successful high-growth ventures and advancing civic leadership in Michigan's entrepreneurial ecosystem. Members pledge a portion of equity or return on investment to a fund for state-based grantmaking, supporting impactful local organizations.",michiganfoundersfund.org,https://michiganfoundersfund.org/wp-content/uploads/2025/02/Winter-2025-Cohort-.png,https://michiganfoundersfund.org/wp-content/uploads/2022/03/mff-logo-W200.png,Non-profit
Michigan Hispanic Collaborative,Non-profit,"A non-profit organization that aims to advance Michigan's economic prosperity by increasing Hispanic access to higher education and professional opportunities. They provide programs and resources to support academic achievement, career development, and leadership within the Hispanic community.",mihc.org,https://www.mihc.org/wp-content/uploads/2025/01/Strengthening-the-next-e1738169571887.png,https://www.mihc.org/wp-content/uploads/elementor/thumbs/Transparent-Logo-1-e1738255972686-r0s063y5vzyrmcaxgv3veqza0frgs3mf3laenar4zy.png,Non-profit
Michigan Rise,Investment Fund,"Michigan Rise is a pre-seed venture fund investing in Michigan-based startups, often from university technologies. They play a role in fostering the startup ecosystem in Michigan by providing capital and support to emerging technology companies.",michiganrise.com,https://media.licdn.com/dms/image/v2/C4E1BAQE6mPzMitdJRA/company-background_10000/company-background_10000/0/1596895453885/michigan_rise_cover?e=2147483647&v=beta&t=pjYu4SiKwWddNePG5nbAxvt9_sCqOHaOSiq5jwLW9Og,https://michiganrise.com/wp-content/uploads/2024/12/Michigan-Rise-Logo-b-400x181-1.png,Investment Fund
Red Cedar Ventures,Investment Fund,"Red Cedar Ventures is the venture capital arm of Michigan State University. It invests in early-stage companies founded by MSU students, faculty, and alumni, focusing on commercializing technologies developed at the university.",https://msufoundation.org/venture-funds/,https://michiganvca.org/wp-content/uploads/2016/11/RCV-Art-for-Release.jpg,https://msufoundation.org/wp-content/uploads/2025/02/MSURF-logo-400x134.png,Investment Fund
Michigan SAVES,Non-profit,"The nation's first non-profit green bank, providing accessible financing solutions for clean energy and energy efficiency improvements. They offer programs for homeowners, building owners, and public entities to invest in upgrades that lower utility bills and reduce environmental impact.",https://michigansaves.org/,https://michigansaves.org/wp-content/uploads/2024/02/michigan-saves-homeowners.png,https://michigansaves.org/wp-content/uploads/2025/01/cropped-ms-logo15.png,Non-profit
Questis,Business,A financial wellness platform that provides personalized financial coaching and tools to help individuals improve their financial health.,https://www.questis.co/,https://cdn.prod.website-files.com/67aad8fff8fab739db321406/67cfd2f47e2d5d5cd40c64fb_iStock-1496613385.jpg,https://cdn.prod.website-files.com/67aad8fff8fab739db321406/67aadc4cd41c48d0ad8dfb4a_nav-logo.png,Business
Ryter Cooperative Industries,Business,"Ryter Cooperative Industries (RCI) is a Detroit-based, minority-owned social impact company focused on clean energy. They provide customized engineering project management and educational services for community-based projects around solar and renewable energy development, with a mission to accelerate the adoption of solar-powered energy systems.",https://www.ryterci.com/,"https://static.wixstatic.com/media/11062b_6e2c3f7326db4e8a926cda7bea88cdf3~mv2.jpg/v1/fill/w_1089,h_570,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/11062b_6e2c3f7326db4e8a926cda7bea88cdf3~mv2.jpg","https://static.wixstatic.com/media/f6c717_f20a43a5a43b4e05a6e0af2eb8a1d86e~mv2.png/v1/fill/w_284,h_81,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/f6c717_f20a43a5a43b4e05a6e0af2eb8a1d86e~mv2.png",Business
Southeast Michigan Community Alliance (SEMCA),Non-profit,"SEMCA is a non-profit organization that administers various human services and talent development programs in Monroe County and out-Wayne County, Michigan (excluding the city of Detroit). They lead in creating an inclusive, lifelong talent, and career development system responsive to labor market demands, often partnering with the Michigan Works! network.",semca.org,https://media.licdn.com/dms/image/v2/D4E10AQGFSLVjpes3sw/image-shrink_800/B4EZZ892P6HQAc-/0/1745853311375?e=2147483647&v=beta&t=NL7a5D30EDgxoOzDuxv7EN0wBNc9hZp_ESKDMaNhA84,https://www.semcamiworks.org/wp-content/uploads/2019/10/semca-michigan-works-logo.svg,Non-profit
University of Michigan Center for Innovation,Academia,"The University of Michigan has various centers and initiatives related to innovation. The ""Center for Innovation"" is a hub within the university that fosters entrepreneurship, technology transfer, and interdisciplinary collaboration to bring new ideas and research to market or address societal challenges.",https://detroit.umich.edu/umci/,https://detroit.umich.edu/wp-content/uploads/2023/08/DET22-AroundTown_58-1024x683.jpg,https://detroit.umich.edu/wp-content/uploads/2018/09/UofMDetroitLogo.png,Academics
Wayne State University,Academia,"Wayne State University (WSU) is a public research university located in Detroit, Michigan. Founded in 1868, it is Michigan's third-largest university, offering a wide range of undergraduate and postgraduate programs across various fields. WSU is known for its research activity and its role in providing education and talent to the Detroit metropolitan area.",https://wayne.edu/,https://wayne.edu/about/promos/12785/tech-town-img-sized.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Wayne_State_Warriors_primary_logo.svg/1200px-Wayne_State_Warriors_primary_logo.svg.png,Academics
Taubman College of Architecture and Urban Planning,Academia,"Taubman College is the college of architecture and urban planning at the University of Michigan. It offers undergraduate and graduate degrees in architecture, urban planning, and urban design, focusing on shaping the built environment through design, research, and critical inquiry.",taubmancollege.umich.edu,https://taubmancollege.umich.edu/wp-content/uploads/2023/04/UrbanTech_Studio2.jpg,https://taubmancollege.umich.edu/wp-content/themes/taubmantheme-new/assets/img/logo-sign.svg,Academics
Femology,Innovation Community,"Femology, an ecosystem based at Michigan Central that advances women founders, supports entrepreneurs through curated programming, mentorship, and community. Femology, with over 45 female founder companies, expands opportunities for women-led ventures, and helps them conceptualize and scale their businesses.",https://www.femology.com/,https://images.squarespace-cdn.com/content/v1/66ecafdff422b93a731d4e67/4338cfe4-ce9d-4e08-a61f-df2f11d150b4/003A6180.jpg?format=2500w,https://images.squarespace-cdn.com/content/v1/66ecafdff422b93a731d4e67/fb34a4e7-570b-48c7-b69a-1a86f34ba9fb/femology2.png?format=1500w,Community
Black Tech Saturdays,Innovation Community,"Black Tech Saturdays is an ecosystem based at Michigan Central that convenes entrepreneurs, professionals, and investors to accelerate innovation and foster opportunity, collaboration, and visibility for diverse founders. With hundreds of participants and founders involved,  they embed equity into tech development and are helping shape the future of inclusive innovation.",https://www.blacktechsaturdays.com/,https://images.squarespace-cdn.com/content/v1/6664ed2598423802fc10730f/d4279f1c-c958-4dba-a832-0b49ec6cab14/_6__0639.jpg?format=2500w,https://images.squarespace-cdn.com/content/v1/6664ed2598423802fc10730f/94055c0a-c25b-4272-a718-f76f65e2ba4c/TrademarkLogo_PrimaryLogo_2Color_white_yellow.png?format=1500w,Community
100KM Ventures,Investment Fund,"An early-stage venture capital firm based in Washington, D.C., founded in 2023. They invest in diverse management teams building technology companies focused on the Future of Work and Women's Health, addressing untapped customer segments. Their investment strategy includes pre-seed, seed, and Series A funding stages.",https://www.100kmvc.com/,https://i.ytimg.com/vi/zTV6Bcye_S0/hq720.jpg?sqp=-oaymwEhCK4FEIIDSFryq4qpAxMIARUAAAAAGAElAADIQj0AgKJD&rs=AOn4CLDQe9BTUTWgqA58aP2ndTnAWaG5Pw,https://cdn.prod.website-files.com/68125f3a48bce39181793a16/6893a63767f14becda396a07_100km.svg,Investment Fund
640 Oxford Ventures,Investment Fund,"A venture capital firm based in New York, established in 2022. The firm specializes in early-stage investments, primarily focusing on pre-seed and seed stage companies, with an interest in sectors such as business products and services, and consumer products and services.",https://640oxford.com/,https://framerusercontent.com/images/01GyXPplrd8Kjpf6o4KVGGEns.png?scale-down-to=2048&width=2604&height=1468,https://framerusercontent.com/images/8vXhHmhVJlxrlDnaAUOQylxVPc.svg?scale-down-to=512,Investment Fund
Assembly Ventures,Investment Fund,"An early-stage venture capital platform with offices in Detroit, Silicon Valley, and Berlin. It invests in and strategically supports entrepreneurs and mobility companies across North America and Europe, focusing on the future of transportation.",https://www.assemblyventures.com/,"https://static.wixstatic.com/media/7ac8e4_47a14a3d64654643ac8700ae04f5ab9af000.jpg/v1/fill/w_1815,h_580,al_c,q_85,usm_0.33_1.00_0.00,enc_avif,quality_auto/7ac8e4_47a14a3d64654643ac8700ae04f5ab9af000.jpg","https://static.wixstatic.com/media/7ac8e4_0a82c501164e424e83780c8a3db6c226~mv2.png/v1/fill/w_178,h_69,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/7ac8e4_0a82c501164e424e83780c8a3db6c226~mv2.png",Investment Fund
Detroit Venture Partners,Investment Fund,"A venture capital firm that invests in early-stage technology companies in Detroit and the surrounding Midwest region. Founded by Dan Gilbert, Josh Linkner, and Brian Rooney, DVP focuses on revitalizing Detroit through entrepreneurship.",https://www.detroit.vc/,"https://static.wixstatic.com/media/b6d00d_413ab0af104b4d24b892525a905452de~mv2.jpg/v1/fill/w_386,h_506,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/caleb-george-aYKmTNQg0zU-unsplash.jpg","https://static.wixstatic.com/media/b6d00d_dfc54eee755c43e29c863198678ef9b2~mv2.png/v1/fill/w_179,h_54,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/DVP_red.png",Investment Fund
Fontinalis Partners,Investment Fund,"A venture capital firm that invests in companies focused on the future of mobility. Based in Detroit, the firm was co-founded by Bill Ford and invests across various stages, from early-stage to growth equity.",https://fontinalis.com/,https://michiganvca.org/wp-content/uploads/2016/07/Fontinalis-e1468342836121.jpg,https://fontinalis.com/wp-content/uploads/2020/04/fontinalis-logo.svg,Investment Fund
Hella Ventures,Investment Fund,"The corporate venture capital arm of Forvia Hella, based in Northville Township, Michigan. The firm invests in companies in the mobility, climate tech, deep tech, logistics, manufacturing, and robotics sectors, with a focus on automated driving, electrification, lighting technologies, connected car, industry 4.0 & logistics.",https://www.hella.com/en/Contact/Hella-Ventures-4382/,https://media.licdn.com/dms/image/v2/C4E1BAQGcvRMFmxpk7Q/company-background_10000/company-background_10000/0/1584512696921?e=2147483647&v=beta&t=nHxQSKORsLh5cblv2DBjAhKAXwSIq8VsiYWO18tZlkg,https://www.hella.com/forvia-com/assets/images_global/Forvia_Hella_Logotype_Positif_RVB.svg,Investment Fund
ID Ventures,Investment Fund,"The venture capital program of Invest Detroit. It provides early-stage investment to promising Michigan-based, high-tech startups and programs that strengthen the startup ecosystem. Since 2009, they have invested in over 234 companies and are one of the most active early-stage investor in the state.",https://idventures.com/,https://idventures.com/wp-content/uploads/2020/08/HomepageSocialShare.png,https://idventures.com/wp-content/themes/id_ventures/assets/images/ID_Ventures-WebLogo-White.png,Investment Fund
Milestone Growth Capital,Investment Fund,"They support angel investors and founders in the early-stage ecosystem through education programs, research, and community building. They focus on creating an accessible ecosystem and accelerating the growth of a sustainable thriving community.",https://milestones.capital/,https://milestones.capital/wp-content/uploads/2024/04/1-1-980x577.png,https://milestones.capital/wp-content/uploads/2024/03/milestone-logo-insitiute-bold.jpg,Investment Fund
NewRoad Capital Partners,Investment Fund,"A growth equity firm that invests in companies at the intersection of retail, consumer, and supply chain. They focus on businesses that are disrupting traditional industries through innovation and technology.",https://newroadcp.com/,https://newroadcp.com/wp-content/uploads/Truck.jpg,"https://images.crunchbase.com/image/upload/c_pad,f_auto,q_auto:eco,dpr_1/kcawsbwv9t5prs408ztl",Investment Fund
One Dream Ventures,Investment Fund,"One Dream Ventures is an early-stage venture capital fund that invests in companies with diverse founders. They focus on sectors such as fintech, healthcare, and education, aiming to support underrepresented entrepreneurs.",https://www.onedreamventures.com/,,https://media.licdn.com/dms/image/v2/D560BAQEOXPgtPUyUVw/company-logo_200_200/company-logo_200_200/0/1719242917595/one_dream_ventures_logo?e=2147483647&v=beta&t=-13GwaswiZNLs5ej1iaZQcKQYcR0t5HVS0_2jGlqrN4,Investment Fund
Piquette Partners,Investment Fund,A venture capital firm that invests in early-stage technology companies. They focus on businesses with strong intellectual property and disruptive potential in various sectors.,https://www.piquettepartners.com/,"https://static.wixstatic.com/media/f1992b_b9c57626f4cc47028ae370c61ee7ae05~mv2_d_2511_2000_s_2.jpg/v1/fill/w_908,h_488,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/f1992b_b9c57626f4cc47028ae370c61ee7ae05~mv2_d_2511_2000_s_2.jpg","https://static.wixstatic.com/media/c639c6_64d8b01bf8414c389c17e356601cf883~mv2.png/v1/fill/w_157,h_60,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/Picture1.png",Investment Fund
Plymouth Growth,Investment Fund,A growth equity firm that invests in companies in the Midwest and beyond. They focus on businesses with proven models and significant growth potential across various sectors.,https://plymouthgp.com/,https://media.licdn.com/dms/image/v2/C4E1BAQHmEuzBKcW4-Q/company-background_10000/company-background_10000/0/1606849177426/plymouth_ventures_cover?e=2147483647&v=beta&t=HZaNhSNgmYpnqw3DShb55nSK9WbU86FbLwlMVZEguZo,https://plymouthgp.com/wp-content/uploads/2020/02/h-f-logo.png,Investment Fund
Powerhouse Ventures,Investment Fund,A venture capital firm that invests in early-stage companies in the clean energy and sustainability sectors. They support entrepreneurs who are developing innovative solutions to address climate change.,https://powerhouse-ventures.co/,https://framerusercontent.com/images/PAjRqXHx9beTYdv21BpVZvopnOs.jpg?scale-down-to=2048&width=7952&height=5304,https://images.squarespace-cdn.com/content/v1/5d4b459777a6c6000115bee3/1575499614094-L1L96ZX1MLBWETMY590E/Powerhouse+Logo_Grey+text.png,Investment Fund
Side Door Ventures,Investment Fund,A venture capital firm that invests in early-stage technology companies. They focus on businesses with strong teams and innovative solutions across various sectors.,https://www.sdv.vc/,https://cdn.prod.website-files.com/6594be52996bda3cc47b234f/665a53113d9ee161472a82a5_Screenshot%202024-05-31%20at%203.45.19%E2%80%AFPM.png,https://cdn.prod.website-files.com/6594be52996bda3cc47b234f/65b05ddd857481d7921414a1_SDV_WHT_10x-p-500.png,Investment Fund
Skara Ventures,Investment Fund,A venture capital firm that invests in early-stage companies in the healthcare and life sciences sectors. They support entrepreneurs who are developing groundbreaking technologies to improve health outcomes.,https://skaravc.com/,https://skaravc.com/wp-content/uploads/2021/08/bnr_pic3.png,https://skaravc.com/wp-content/uploads/2021/07/logo.png,Investment Fund
Solidea Capital,Investment Fund,A venture capital firm that invests in early-stage technology companies. They focus on businesses with disruptive potential and strong market traction in various sectors.,https://www.solideacapital.com/,https://www.solideacapital.com/wp-content/uploads/2022/02/home-001.jpg,https://solidea.wpengine.com/wp-content/uploads/2022/01/light-logo.png,Investment Fund
Union Heritage Venture Partners,Investment Fund,A venture capital firm that invests in early-stage technology companies. They focus on businesses with strong growth potential and innovative solutions across various sectors.,https://www.unionheritage.com/,https://www.unionheritage.com/wp-content/uploads/2023/09/iStock-1430627448.jpg,https://www.unionheritage.com/wp-content/themes/unionheritage/dist/img/logo-wide.png,Investment Fund
Song Family Office,Investment Fund,"A private investment firm that manages the wealth of the Song family. They invest across a range of asset classes, including venture capital, private equity, and real estate.",https://song.foundation/,https://song.foundation/wp-content/uploads/2022/10/SongFoundationLogoColor.png,https://song.foundation/wp-content/uploads/2022/10/SongFoundationLogoColor.png,Investment Fund
Trucks VC,Investment Fund,A venture capital firm that invests in early-stage companies in the trucking and logistics industries. They support entrepreneurs who are developing technologies to improve efficiency and sustainability in these sectors.,https://www.trucks.vc/,https://www.esgtoday.com/wp-content/uploads/2025/01/Trucks-VC.jpg,https://cdn.prod.website-files.com/5f97433d9da70e7cac1ccfe2/5f9750f01a17f7dd870201f9_trucks-logo-white.svg,Investment Fund
VentureNext,Investment Fund,A venture capital firm that invests in early-stage technology companies. They focus on businesses with strong growth potential and innovative solutions across various sectors.,https://www.venturenext.vc/,https://media.licdn.com/dms/image/v2/C4E1BAQFENj5jFT8lwg/company-background_10000/company-background_10000/0/1591034803675/venturenext_cover?e=2147483647&v=beta&t=wbNTcdXjbRKavBioSKU54hMsUwIkla8N_kBDFOqKEgM,https://images.squarespace-cdn.com/content/v1/5e692d069f4c330397d8ae90/4ecae35d-cf16-40f6-9216-2e8e6a14ca16/VentureNext_Logo_Red-Blue.png?format=1500w,Investment Fund
RPM Ventures,Investment Fund,"An early-stage venture capital firm based in Ann Arbor, Michigan. They invest in companies in the automotive, transportation, and enterprise software sectors, focusing on disruptive technologies and business models.",https://www.rpmvc.com/,https://angelmatch-store.sfo3.digitaloceanspaces.com/blog/meta/rpmvc.png,"https://static.wixstatic.com/media/c91efc_3f8114c4a8e94f448c44901dffa3a5fd~mv2.png/v1/fill/w_104,h_69,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/RPM_Logo_WhiteRed-01.png",Investment Fund
Stellantis Ventures,Investment Fund,"The corporate venture fund of Stellantis, established with an initial investment of €300 million. They target early and later-stage startup companies developing cutting-edge technologies for the automotive and mobility sectors, focusing on sustainability, competitiveness, and in-vehicle technology.",https://www.stellantis.ventures/en,https://www.stellantis.ventures/content/dam/stellantis-ventures/startup-hub.jpg,https://www.stellantis.ventures/content/dam/stellantis-ventures/LogoStellantisVentures-Blu-1.svg,Investment Fund
Michigan eLab,Investment Fund,"A venture capital firm focused on early-stage technology startups, particularly those leveraging artificial intelligence. Established in 2012, the firm has locations in Ann Arbor, Michigan, and Silicon Valley, California. They primarily invest at the pre-seed, seed, and Series A stages in sectors like information technology, mobility, and manufacturing.",https://www.elabvc.com/,https://cronicle.press/static/af7d0dc2dad247cf2a9264f5a21d685f/72e01/Screen-Shot-2019-09-16-at-10.05.49-AM-1024x505.jpg,https://framerusercontent.com/images/dMdcIBWSJTv7jKQM0qpKALG1Ns.svg?width=375&height=375,Investment Fund
Augment Ventures,Investment Fund,"An Ann Arbor-based investment firm founded in 2010, focusing on early-stage investments across the United States. They back AI-native builders in sectors such as supply chain, logistics, manufacturing, and industrial automation. They invest early and bring board-level strategy, deep industrial networks, and a repeatable exit playbook to the companies they fund.",https://www.augmentventures.com/,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQUVoVVUcFZW5kt6FGsfbGWvd1ipF1bPV8Bqw&s,https://www.augmentventures.com/wp-content/uploads/2024/05/logo_new-2048x620.png,Investment Fund
Allison Ventures,Investment Fund,"A corporate venture capital arm of Allison Transmission based in Indianapolis, Indiana. The firm seeks to invest in electrification, connectivity, autonomy, sustainability, and operations in the commercial mobility duty and work solution sectors. They strategically invest in and partner with start-up and growth-stage companies to drive advancements in commercial-duty mobility and work solutions.",https://www.allisontransmission.com/innovation-and-technology/allison-ventures,"https://allisontransmission.bynder.com/transform/d378deea-51ea-46f9-8e7b-97ba188eb011/IAA-Transportation-2024-Hanover-Germany?io=transform:fill,width:1200,height:630,gravity:center","https://allisontransmission.bynder.com/transform/49600873-e0e2-4ad5-86d9-1dc58b9bddbd/Allison_Ventures_RGB-eps?io=transform:fill,width:2000,height:220",Investment Fund
Earth Foundry,Investment Fund,"A pioneering early-stage venture capital firm focused on energy, water, waste, mobility, & agriculture. Founded in 2012, they leverage unparalleled domain expertise, precision engineered playbooks, and world class strategic partnerships to forge industry defining companies. They identify, invest in, and scale transformative startups in these critical sectors.",https://www.earthfoundry.com/,https://cdn.prod.website-files.com/64f22ccda75f20cdd1556649/6570d8cd152cf792735eddf0_EF-Connect.png,https://cdn.prod.website-files.com/64f22ccda75f20cdd1556649/64f231fcb39c11d7799dc18b_Earth%20Foundry%20Logo%20White.svg,Investment Fund
GM Ventures,Investment Fund,"The corporate venture capital arm of General Motors, investing in startups that share GM's vision of a world of zero emissions, zero crashes, and zero congestion. They focus on key technologies for GM's vehicles, manufacturing facilities, and operating businesses, aiming to advance the automotive industry and accelerate GM's strategy.",https://www.gmventures.com/site/us/en/gm-ventures/home.html,https://www.gm.com/content/dam/company/img/us/en/gmventures/gmventures-screenshot.jpg,https://www.gmventures.com/etc/designs/gbs/components/topbar/view/gmventures/GMVentures-logo.png,Investment Fund
